evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
1,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
2,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
3,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
4,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
5,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
6,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
7,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
8,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
9,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0983, threshold=0.2100.",0.44788650367717314,0.34979940565705825,0.4408088319680082,0.3425543062000682,False,no_candidate_improvement,-0.09825452576793997,0.21000000000000002,False
10,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4495230942098044,0.3515193838954876,0.4421381163433192,0.3441263209034243,False,no_candidate_improvement,-0.09801179543989486,0.21000000000000002,False
11,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.451462318060831,0.3534621922737872,0.44382140682169785,0.34582097330022443,False,no_candidate_improvement,-0.09800043352147342,0.21000000000000002,False
12,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.45369364863149786,0.3556936445089405,0.4458512144761877,0.34785120270453534,False,no_candidate_improvement,-0.09800001177165235,0.21000000000000002,False
13,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.45492878620189947,0.3569287860661058,0.4477041209523432,0.34970412055874006,False,no_candidate_improvement,-0.09800000039360313,0.21000000000000002,False
14,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4556826197057468,0.3576826197011863,0.44923221953122144,0.3512322195150107,False,no_candidate_improvement,-0.09800000001621073,0.21000000000000002,False
15,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.45587296394267707,0.35787296394252455,0.44988918177716836,0.35188918177691125,False,no_candidate_improvement,-0.0980000000002571,0.21000000000000002,False
16,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4552305366992403,0.3572305366992353,0.44828412653192046,0.3502841265319117,False,no_candidate_improvement,-0.09800000000000875,0.21000000000000002,False
17,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4545659584696017,0.3565659584696014,0.4466302205382721,0.34863022053827164,False,no_candidate_improvement,-0.09800000000000048,0.21000000000000002,False
18,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4541150925517862,0.3561150925517862,0.445640462512338,0.347640462512338,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
19,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4536826044444228,0.3556826044444228,0.4451392263347838,0.3471392263347838,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
20,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4529333850212171,0.3549333850212171,0.4444809771793178,0.34648097717931775,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
21,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4518667575391041,0.35386675753910407,0.444181666701199,0.346181666701199,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
